Signal Legend:

Key        Signal Name

0        = ad_in
1        = dac_out_data
2        = fsk_dm:u_fsk_dm|mix
3        = fsk_dm:u_fsk_dm|fir2_mix

Data Table:

Signals-> 0    1     2    3   

sample

305       2405 16338 45   -46 
306       2405 16338 45   -46 
307       2417 16338 45   -46 
308       2417 16338 47   -46 
309       2417 16338 49   -46 
310       2417 16338 49   -46 
311       2429 16338 49   -46 
312       2429 16338 51   -46 
313       2429 16338 53   -46 
314       2429 16338 53   -46 
315       2440 16338 55   -46 
316       2440 16338 55   -46 
317       2440 16338 57   -46 
318       2440 16338 57   -46 
319       2451 16338 59   -46 
320       2451 16338 63   -46 
321       2451 16338 61   -46 
322       2451 16338 61   -46 
323       2462 16338 61   -46 
324       2462 16338 65   -46 
325       2462 16338 65   -46 
326       2462 16338 65   -45 
327       2474 16339 65   -45 
328       2474 16339 69   -45 
329       2474 16339 69   -45 
330       2474 16339 69   -45 
331       2486 16339 69   -45 
332       2486 16339 72   -45 
333       2486 16339 74   -45 
334       2486 16339 74   -45 
335       2496 16339 74   -45 
336       2496 16339 76   -46 
337       2496 16338 78   -46 
338       2496 16338 78   -46 
339       2509 16338 78   -46 
340       2509 16338 81   -46 
341       2509 16338 83   -46 
342       2509 16338 83   -46 
343       2518 16338 83   -46 
344       2518 16338 85   -46 
345       2518 16338 88   -46 
346       2518 16338 88   -46 
347       2529 16338 90   -46 
348       2529 16338 90   -46 
349       2529 16338 92   -46 
350       2529 16338 92   -46 
351       2539 16338 95   -46 
352       2539 16338 99   -46 
353       2539 16338 97   -46 
354       2539 16338 97   -46 
355       2550 16338 97   -46 
356       2550 16338 102  -46 
357       2550 16338 102  -46 
358       2550 16338 102  -46 
359       2561 16338 102  -46 
360       2561 16338 107  -46 
361       2561 16338 107  -46 
362       2561 16338 107  -46 
363       2572 16338 107  -46 
364       2572 16338 109  -46 
365       2572 16338 112  -46 
366       2572 16338 112  -46 
367       2581 16338 112  -46 
368       2581 16338 115  -46 
369       2581 16338 117  -46 
370       2581 16338 117  -46 
371       2591 16338 117  -46 
372       2591 16338 120  -46 
373       2591 16338 122  -46 
374       2591 16338 122  -46 
375       2600 16338 123  -46 
376       2600 16338 125  -46 
377       2600 16338 127  -46 
378       2600 16338 127  -46 
379       2611 16338 130  -46 
380       2611 16338 130  -46 
381       2611 16338 132  -46 
382       2611 16338 132  -46 
383       2619 16338 135  -46 
384       2619 16338 138  -46 
385       2619 16338 138  -46 
386       2619 16338 138  -46 
387       2631 16338 138  -46 
388       2631 16338 143  -46 
389       2631 16338 143  -46 
390       2631 16338 143  -46 
391       2641 16338 143  -46 
392       2641 16338 149  -46 
393       2641 16338 149  -46 
394       2641 16338 149  -46 
